epoch,train_lr_10,train_lr_5,train_lr_1,train_lr_0.1,train_lr_0.01,train_lr_0.001,train_lr_0.0001,train_lr_0.00001,val_lr_1,val_lr_0.1,val_lr_0.01,val_lr_0.001,val_lr_0.0001,val_lr_0.00001
76,,,2.313762,2.303962,0.790689,1.175028,2.283253,2.30395,2.318967,2.303685,1.029976,1.229397,2.282166,2.303944
77,,,2.314355,2.303859,0.78017,1.165756,2.281924,2.30394,2.309825,2.302946,1.053977,1.217124,2.280773,2.303934
78,,,2.312354,2.303815,0.793844,1.157703,2.280495,2.30393,2.314777,2.303464,1.054076,1.207781,2.279276,2.303924
79,,,2.313783,2.303811,0.778951,1.151471,2.278959,2.30392,2.315068,2.303228,1.075128,1.20451,2.277653,2.303914
80,,,2.315516,2.303686,0.777317,1.149533,2.2773,2.30391,2.306014,2.303139,1.040344,1.230987,2.275914,2.303904
81,,,2.312596,2.303567,0.77512,1.149248,2.275515,2.3039,2.315712,2.303923,1.032554,1.189302,2.274045,2.303894
82,,,2.313036,2.30384,0.77667,1.132073,2.273596,2.303891,2.314497,2.302754,1.035021,1.194446,2.272041,2.303885
83,,,2.312799,2.303514,0.779942,1.13011,2.271528,2.303881,2.31319,2.304286,1.057543,1.18114,2.269874,2.303875
84,,,2.31224,2.303775,0.781615,1.128123,2.26929,2.303872,2.317723,2.30324,1.056661,1.191042,2.267518,2.303866
85,,,2.314289,2.303722,0.776763,1.123862,2.266872,2.303862,2.318959,2.303355,1.033397,1.194156,2.26497,2.303857
86,,,2.313449,2.30393,0.775502,1.120042,2.264253,2.303853,2.313056,2.30289,1.065876,1.178215,2.262216,2.303847
87,,,2.313382,2.3037,0.771247,1.116576,2.261408,2.303843,2.319512,2.303857,1.052992,1.176421,2.259228,2.303838
88,,,2.312531,2.303585,0.766464,1.107236,2.258309,2.303834,2.31256,2.303224,1.021332,1.159412,2.255958,2.303828
89,,,2.31355,2.303716,0.770068,1.104438,2.254945,2.303825,2.308003,2.303203,1.059806,1.161323,2.252387,2.30382
90,,,2.313604,2.304095,0.764894,1.100416,2.25124,2.303816,2.312293,2.303852,1.039485,1.169814,2.248474,2.30381
91,,,2.314523,2.303784,0.768352,1.095151,2.247191,2.303807,2.311253,2.303436,1.041896,1.159114,2.244175,2.303801
92,,,2.314789,2.303575,0.767907,1.097459,2.242716,2.303798,2.32803,2.305441,1.056787,1.178585,2.23941,2.303792
93,,,2.314579,2.303829,0.767295,1.090323,2.237796,2.303789,2.316828,2.303502,1.042743,1.16142,2.234201,2.303783
94,,,2.313023,2.303783,0.754638,1.089206,2.232438,2.30378,2.313413,2.303099,1.024017,1.162142,2.228513,2.303775
95,,,2.314332,2.303785,0.760478,1.08385,2.226585,2.303771,2.311799,2.303564,1.077225,1.143154,2.222276,2.303766
96,,,2.312655,2.303665,0.759676,1.074706,2.220221,2.303762,2.311005,2.303727,1.145432,1.168061,2.215544,2.303757
97,,,2.314218,2.303825,0.766002,1.073708,2.213404,2.303753,2.317985,2.303324,1.048025,1.136153,2.208399,2.303748
98,,,2.314456,2.30369,0.769857,1.065282,2.206244,2.303745,2.309215,2.303444,1.02054,1.146006,2.200977,2.30374
99,,,2.313081,2.303715,0.751702,1.065787,2.198944,2.303736,2.308424,2.304778,1.057029,1.165199,2.193534,2.303731
100,,,2.312899,2.30357,0.753463,1.065098,2.19167,2.303728,2.316305,2.303159,1.058877,1.173653,2.186278,2.303723
101,,,2.313251,2.303697,0.752137,1.06055,2.184667,2.303719,2.310127,2.303181,1.041142,1.131327,2.179276,2.303714
102,,,2.31595,2.30381,0.767575,1.053773,2.178005,2.303711,2.315618,2.304189,1.060637,1.12692,2.17277,2.303706
103,,,2.313038,2.304012,0.754705,1.046304,2.171858,2.303703,2.312393,2.303535,1.045919,1.134651,2.166759,2.303697
104,,,2.314437,2.303546,0.756544,1.047421,2.166194,2.303694,2.313562,2.304651,1.083933,1.130346,2.161293,2.303689
105,,,2.311708,2.304022,0.752617,1.044061,2.161077,2.303686,2.310647,2.303752,1.019609,1.13325,2.156279,2.303681
106,,,2.312437,2.303712,0.752097,1.04357,2.156416,2.303678,2.315849,2.303684,1.010052,1.128656,2.151792,2.303673
107,,,2.315186,2.30383,0.75629,1.037168,2.152111,2.30367,2.310096,2.30315,1.018333,1.146501,2.147545,2.303665
108,,,2.314104,2.304039,0.747332,1.029999,2.148193,2.303662,2.316105,2.30368,1.021142,1.117148,2.143651,2.303657
109,,,2.313652,2.303902,0.748573,1.028673,2.144539,2.303654,2.310173,2.303667,1.046336,1.109718,2.14006,2.303649
110,,,2.314531,2.303861,0.750902,1.028161,2.141159,2.303646,2.314949,2.303318,1.038579,1.117561,2.136605,2.303641
111,,,2.311933,2.303992,0.753501,1.024104,2.137926,2.303638,2.3164,2.303456,1.071743,1.104722,2.133368,2.303633
112,,,2.314131,2.303582,0.745638,1.017491,2.134856,2.30363,2.312464,2.30396,1.033152,1.121274,2.130213,2.303625
113,,,2.312675,2.303641,0.751162,1.013773,2.131905,2.303622,2.30505,2.303268,1.066572,1.102885,2.127231,2.303617
114,,,2.314397,2.303665,0.750253,1.019143,2.12902,2.303615,2.307344,2.304107,1.023814,1.115269,2.124233,2.303609
115,,,2.312024,2.30372,0.751474,1.013576,2.126185,2.303607,2.307008,2.303889,1.087756,1.115694,2.121425,2.303602
116,,,2.313725,2.303753,0.74723,1.005243,2.123478,2.303599,2.310668,2.303694,1.070295,1.110518,2.11859,2.303594
117,,,2.314014,2.303795,0.740901,1.00544,2.120653,2.303592,2.30961,2.303757,1.04241,1.130388,2.115708,2.303587
118,,,2.313883,2.303942,0.744227,0.99968,2.117965,2.303584,2.312506,2.303686,1.077491,1.119115,2.112834,2.303579
119,,,2.312315,2.304202,0.739557,1.000578,2.115268,2.303577,2.310717,2.303992,1.011336,1.116851,2.109879,2.303572
120,,,2.314578,2.303379,0.73475,0.995286,2.112509,2.303569,2.31651,2.304036,1.061989,1.104741,2.107083,2.303564
121,,,2.311611,2.303591,0.739455,0.993492,2.109767,2.303562,2.313642,2.305045,1.028465,1.101085,2.104137,2.303557
122,,,2.313325,2.303831,0.748827,0.988024,2.106957,2.303555,2.312198,2.304331,1.056924,1.089845,2.101239,2.30355
123,,,2.314506,2.303559,0.752216,0.984011,2.104149,2.303547,2.306267,2.304262,1.034737,1.090575,2.098249,2.303543
124,,,2.314481,2.303864,0.744653,0.98371,2.101287,2.30354,2.320983,2.304244,1.104887,1.090259,2.095265,2.303535
125,,,2.312624,2.303738,0.745666,0.978177,2.098354,2.303533,2.310058,2.304529,1.032381,1.095074,2.092297,2.303528
126,,,2.312067,2.303761,0.743456,0.975652,2.09539,2.303526,2.317186,2.303683,1.029635,1.092705,2.089118,2.303521
127,,,2.31426,2.303756,0.735962,0.972574,2.092378,2.303519,2.309215,2.303643,1.026788,1.086928,2.085915,2.303514
128,,,2.314378,2.303716,0.747115,0.968222,2.089269,2.303512,2.316548,2.303441,1.048298,1.121423,2.082581,2.303507
129,,,2.313967,2.303817,0.73141,0.966078,2.08608,2.303505,2.308424,2.302978,1.047437,1.115973,2.079265,2.3035
130,,,2.314584,2.303704,0.734832,0.967434,2.082803,2.303498,2.316587,2.303483,1.057272,1.087387,2.076199,2.303493
131,,,2.314541,2.3039,0.737094,0.962386,2.079532,2.303491,2.311174,2.303324,1.065516,1.093532,2.072462,2.303486
132,,,2.31234,2.303829,0.73949,0.954815,2.076245,2.303484,2.31756,2.303397,1.037358,1.086418,2.068931,2.303479
133,,,2.313341,2.303723,0.742751,0.952791,2.072798,2.303477,2.309445,2.303302,1.058719,1.084578,2.065318,2.303473
134,,,2.313798,2.303823,0.732815,0.950662,2.069408,2.30347,2.30779,2.303606,1.026331,1.072056,2.061765,2.303466
135,,,2.313809,2.303638,0.736674,0.947921,2.065893,2.303464,2.314508,2.303316,1.077668,1.083596,2.058149,2.303459
136,,,2.313925,2.303898,0.723242,0.945197,2.062377,2.303457,2.314338,2.304811,1.070317,1.067761,2.054549,2.303452
137,,,2.314152,2.303636,0.73109,0.941412,2.058756,2.303451,2.324843,2.304532,1.071757,1.063093,2.05114,2.303446
138,,,2.313537,2.303612,0.734134,0.940173,2.055303,2.303444,2.31174,2.303565,1.045778,1.082009,2.047128,2.30344
139,,,2.315404,2.303732,0.727734,0.938386,2.051854,2.303437,2.311604,2.303731,1.02435,1.076045,2.043456,2.303433
140,,,2.315455,2.303807,0.738252,0.9374,2.048235,2.303431,2.311817,2.302843,1.050654,1.093194,2.039762,2.303427
141,,,2.312953,2.303746,0.735014,0.934719,2.044641,2.303425,2.321198,2.303993,1.032072,1.089741,2.036057,2.30342
142,,,2.313347,2.303847,0.728226,0.926737,2.041108,2.303418,2.315507,2.304026,1.049171,1.076391,2.032437,2.303414
143,,,2.313185,2.303619,0.72439,0.924489,2.037599,2.303412,2.31591,2.303075,1.018681,1.088612,2.028896,2.303407
144,,,2.314742,2.303765,0.723589,0.920937,2.0341,2.303406,2.316775,2.303389,1.052438,1.088628,2.025335,2.303401
145,,,2.312855,2.303676,0.720282,0.923228,2.030593,2.303399,2.309477,2.303815,1.053563,1.07395,2.021589,2.303395
146,,,2.313239,2.303714,0.715513,0.916086,2.027083,2.303393,2.306734,2.303832,1.033723,1.067483,2.018808,2.303389
147,,,2.312495,2.303697,0.735384,0.912775,2.023788,2.303387,2.325125,2.303352,1.049481,1.067527,2.014691,2.303382
148,,,2.31414,2.303739,0.721966,0.917051,2.020476,2.303381,2.310703,2.302943,1.098881,1.063883,2.011139,2.303376
149,,,2.313487,2.30348,0.719266,0.91322,2.017125,2.303375,2.310551,2.302892,1.037664,1.056703,2.008553,2.30337
150,,,2.313929,2.303769,0.716418,0.909175,2.014068,2.303369,2.309367,2.303014,1.072413,1.062208,2.004727,2.303364
151,,,2.315231,2.30382,0.727934,0.902321,2.010791,2.303363,2.314747,2.303117,1.068296,1.060416,2.001349,2.303358
152,,,2.312612,2.30385,0.715518,0.90093,2.007697,2.303357,2.308413,2.303513,1.026844,1.056314,1.998346,2.303352
153,,,2.311418,2.303834,0.728655,0.89881,2.004651,2.303351,2.306557,2.30309,1.032221,1.074374,1.995613,2.303347
154,,,2.313084,2.303649,0.717588,0.896345,2.001908,2.303345,2.311593,2.303955,1.021959,1.04758,1.992227,2.303341
155,,,2.31241,2.303911,0.719554,0.892098,1.999046,2.303339,2.308768,2.30307,1.064808,1.060452,1.989322,2.303335
156,,,2.313802,2.303565,0.716722,0.890208,1.996134,2.303333,2.308965,2.304538,1.074259,1.06834,1.986946,2.303329
157,,,2.310951,2.303755,0.716314,0.892901,1.993463,2.303327,2.308,2.303844,1.035817,1.060735,1.983626,2.303323
158,,,2.314877,2.303861,0.721895,0.886761,1.990845,2.303322,2.319029,2.303243,1.021831,1.061398,1.981129,2.303318
159,,,2.315078,2.303765,0.720059,0.893324,1.988333,2.303316,2.315111,2.30325,1.071304,1.048848,1.978416,2.303312
160,,,2.313585,2.303637,0.719583,0.887548,1.985814,2.30331,2.312602,2.30414,1.044822,1.053556,1.97645,2.303306
161,,,2.313512,2.303722,0.713716,0.880802,1.983611,2.303305,2.307926,2.303225,1.014481,1.06438,1.973645,2.303301
162,,,2.314555,2.303851,0.722062,0.872967,1.981197,2.303299,2.3148,2.30343,1.028351,1.070567,1.971401,2.303295
163,,,2.31312,2.303824,0.720328,0.874059,1.978863,2.303294,2.31303,2.303714,1.079027,1.053143,1.969021,2.30329
164,,,2.313823,2.303702,0.719157,0.877656,1.976631,2.303288,2.314671,2.303179,1.073335,1.070725,1.966644,2.303284
165,,,2.314851,2.303631,0.714705,0.868296,1.974854,2.303283,2.313406,2.303994,1.047252,1.048731,1.964535,2.303279
166,,,2.314571,2.30345,0.711369,0.86994,1.972247,2.303277,2.31033,2.304551,1.031052,1.07562,1.962464,2.303273
167,,,2.311992,2.30387,0.704508,0.866377,1.969972,2.303272,2.315944,2.303356,1.062392,1.085247,1.961525,2.303268
168,,,2.313093,2.303728,0.720491,0.86204,1.96777,2.303266,2.315798,2.30339,1.032339,1.053178,1.958475,2.303263
169,,,2.312317,2.303726,0.710758,0.857377,1.965515,2.303261,2.312019,2.303034,1.024162,1.045429,1.9554,2.303257
170,,,2.314564,2.303603,0.711039,0.857227,1.963329,2.303256,2.331688,2.303744,1.031059,1.032236,1.953467,2.303252
171,,,2.31263,2.303878,0.714573,0.85442,1.960856,2.303251,2.307561,2.303427,1.046144,1.052168,1.950824,2.303247
172,,,2.312203,2.30376,0.713583,0.84899,1.958692,2.303245,2.312906,2.303912,1.030428,1.055147,1.948351,2.303242
173,,,2.31461,2.303439,0.707919,0.856295,1.95601,2.30324,2.311664,2.303676,1.046235,1.051334,1.946528,2.303236
174,,,2.313464,2.303643,0.709811,0.844922,1.953527,2.303235,2.306166,2.303319,1.045671,1.035752,1.943382,2.303231
175,,,2.313957,2.303697,0.716451,0.841728,1.95084,2.30323,2.320598,2.303758,1.043204,1.038334,1.940749,2.303226
176,,,2.312929,2.303935,0.716125,0.847483,1.948238,2.303225,2.312904,2.303054,1.048002,1.030355,1.937898,2.303221
177,,,2.313111,2.303721,0.709639,0.837219,1.945249,2.30322,2.315392,2.303299,1.023729,1.032105,1.935,2.303216
178,,,2.313202,2.303722,0.714031,0.839874,1.942513,2.303215,2.334861,2.303481,1.038704,1.065028,1.932322,2.303211
179,,,2.314333,2.303862,0.712654,0.840543,1.939243,2.30321,2.309024,2.303414,1.014569,1.035015,1.929678,2.303206
180,,,2.314441,2.303741,0.699468,0.830261,1.93636,2.303205,2.307661,2.302918,1.03616,1.048653,1.926929,2.303201
181,,,2.314596,2.303804,0.703016,0.835185,1.93271,2.3032,2.310452,2.303238,1.053701,1.038171,1.922435,2.303196
182,,,2.313529,2.303859,0.700143,0.826858,1.92919,2.303195,2.32027,2.303554,1.035021,1.051438,1.918833,2.303191
183,,,2.31523,2.303974,0.702514,0.828587,1.925696,2.30319,2.307755,2.303893,1.040362,1.07317,1.914747,2.303187
184,,,2.312603,2.303855,0.706401,0.821244,1.921427,2.303186,2.314502,2.303463,1.006811,1.039381,1.911158,2.303182
185,,,2.314326,2.303527,0.70219,0.821447,1.916942,2.303181,2.320649,2.303127,1.045005,1.054958,1.906206,2.303177
186,,,2.315663,2.303558,0.698579,0.831564,1.912553,2.303176,2.311833,2.303953,1.01938,1.029688,1.901275,2.303172
187,,,2.313527,2.303663,0.705176,0.818728,1.907357,2.303171,2.303969,2.303451,1.006513,1.030208,1.896348,2.303168
188,,,2.312795,2.303558,0.69828,0.816829,1.902411,2.303167,2.305679,2.303175,1.042934,1.062709,1.891325,2.303163
189,,,2.313642,2.303761,0.698891,0.815506,1.897273,2.303162,2.316941,2.303359,1.027371,1.029482,1.886069,2.303158
190,,,2.314041,2.304104,0.706052,0.810513,1.891725,2.303157,2.319248,2.303746,1.05184,1.032388,1.880395,2.303154
191,,,2.314145,2.303773,0.696997,0.810937,1.88644,2.303153,2.315417,2.303848,1.05674,1.023725,1.874741,2.303149
192,,,2.316458,2.303812,0.705714,0.813368,1.880497,2.303148,2.308487,2.303285,1.014019,1.027746,1.868943,2.303145
193,,,2.313917,2.303924,0.6991,0.804726,1.874709,2.303144,2.315042,2.303594,1.027176,1.044636,1.863352,2.30314
194,,,2.314013,2.303691,0.707087,0.807576,1.868694,2.303139,2.314265,2.303814,1.030238,1.033767,1.856915,2.303136
195,,,2.312642,2.303988,0.709228,0.806817,1.862664,2.303135,2.308229,2.303391,1.022362,1.057941,1.850948,2.303131
196,,,2.313,2.303684,0.704205,0.797506,1.856795,2.30313,2.307754,2.303488,1.066135,1.02128,1.846015,2.303127
197,,,2.313563,2.303868,0.693372,0.798897,1.850347,2.303126,2.310062,2.303495,1.007694,1.034458,1.838679,2.303122
198,,,2.311808,2.303797,0.705173,0.799222,1.844768,2.303122,2.331502,2.303696,1.017628,1.03319,1.832307,2.303118
199,,,2.313887,2.303606,0.701533,0.793578,1.838385,2.303117,2.328254,2.3041,1.023387,1.025734,1.828489,2.303114
200,,,2.312775,2.303726,0.696986,0.795087,1.832218,2.303113,2.312934,2.304339,1.007703,1.022799,1.820984,2.30311
201,,,2.31359,2.303658,0.694505,0.797734,1.826039,2.303108,2.328587,2.304035,1.026725,1.037088,1.814783,2.303105
202,,,2.314372,2.303676,0.693621,0.785611,1.821192,2.303104,2.319678,2.303368,1.023741,1.061746,1.808862,2.303101
203,,,2.311719,2.304131,0.696687,0.786976,1.815482,2.3031,2.311585,2.304158,1.019857,1.044831,1.802887,2.303097
204,,,2.314779,2.303486,0.696608,0.785417,1.809509,2.303096,2.313889,2.303455,1.050019,1.051052,1.797484,2.303093
205,,,2.315277,2.30372,0.697058,0.779988,1.80387,2.303092,2.318461,2.304356,1.025173,1.042932,1.791562,2.303088
206,,,2.315017,2.303916,0.703395,0.778304,1.798645,2.303088,2.319906,2.302926,1.009718,1.069371,1.786396,2.303084
207,,,2.311745,2.303695,0.698309,0.775548,1.792869,2.303083,2.306352,2.303809,0.998505,1.031943,1.782638,2.30308
